ICES_FileID,ICES_HaulID,ICES_MeasurementID,RecordType,HaulID,Species,ELSampleFlag,IndividualNumber,Length,DevScale,DevStage,Number,SubFactor,SpecIdentMethod,OilGlobulesFlag,OilGlobulesNumber,OilGlobulesDiam,PreservationMethod,Notes
13998,1557918,8711148,EM,1992DK_025,Clupea harengus,LV,,30,,,5,1,,,,,,
13998,1557918,8711149,EM,1992DK_025,Clupea harengus,LV,,31,,,1,1,,,,,,
13998,1557918,8711150,EM,1992DK_025,Clupea harengus,LV,,32,,,1,1,,,,,,
13998,1557918,8711151,EM,1992DK_025,Clupea harengus,LV,,33,,,2,1,,,,,,
13998,1557919,8711152,EM,1992DK_026,Clupea harengus,LV,,23,,,1,1,,,,,,
13998,1557919,8711153,EM,1992DK_026,Clupea harengus,LV,,24,,,3,1,,,,,,
13998,1557919,8711154,EM,1992DK_026,Clupea harengus,LV,,25,,,2,1,,,,,,
13998,1557919,8711155,EM,1992DK_026,Clupea harengus,LV,,26,,,2,1,,,,,,
13998,1557919,8711156,EM,1992DK_026,Clupea harengus,LV,,27,,,2,1,,,,,,
13998,1557919,8711157,EM,1992DK_026,Clupea harengus,LV,,28,,,2,1,,,,,,
13998,1557919,8711158,EM,1992DK_026,Clupea harengus,LV,,29,,,1,1,,,,,,
13998,1557919,8711159,EM,1992DK_026,Clupea harengus,LV,,30,,,3,1,,,,,,
13998,1557919,8711160,EM,1992DK_026,Clupea harengus,LV,,31,,,1,1,,,,,,
13998,1557920,8711161,EM,1992DK_027,Clupea harengus,LV,,21,,,1,1,,,,,,
13998,1557920,8711162,EM,1992DK_027,Clupea harengus,LV,,22,,,1,1,,,,,,
13998,1557920,8711163,EM,1992DK_027,Clupea harengus,LV,,23,,,3,1,,,,,,
13998,1557920,8711164,EM,1992DK_027,Clupea harengus,LV,,24,,,3,1,,,,,,
13998,1557920,8711165,EM,1992DK_027,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557920,8711166,EM,1992DK_027,Clupea harengus,LV,,26,,,1,1,,,,,,
13998,1557920,8711167,EM,1992DK_027,Clupea harengus,LV,,27,,,1,1,,,,,,
13998,1557939,8711168,EM,1992DK_028,Clupea harengus,LV,,23,,,2,1,,,,,,
13998,1557939,8711169,EM,1992DK_028,Clupea harengus,LV,,24,,,1,1,,,,,,
13998,1557939,8711170,EM,1992DK_028,Clupea harengus,LV,,25,,,4,1,,,,,,
13998,1557939,8711171,EM,1992DK_028,Clupea harengus,LV,,26,,,4,1,,,,,,
13998,1557939,8711172,EM,1992DK_028,Clupea harengus,LV,,27,,,1,1,,,,,,
13998,1557939,8711173,EM,1992DK_028,Clupea harengus,LV,,28,,,1,1,,,,,,
13998,1557939,8711174,EM,1992DK_028,Clupea harengus,LV,,29,,,1,1,,,,,,
13998,1557939,8711175,EM,1992DK_028,Clupea harengus,LV,,30,,,1,1,,,,,,
13998,1557940,8711176,EM,1992DK_029,Clupea harengus,LV,,25,,,2,1,,,,,,
13998,1557940,8711177,EM,1992DK_029,Clupea harengus,LV,,26,,,6,1,,,,,,
13998,1557940,8711178,EM,1992DK_029,Clupea harengus,LV,,27,,,8,1,,,,,,
13998,1557940,8711179,EM,1992DK_029,Clupea harengus,LV,,28,,,4,1,,,,,,
13998,1557940,8711180,EM,1992DK_029,Clupea harengus,LV,,29,,,3,1,,,,,,
13998,1557940,8711181,EM,1992DK_029,Clupea harengus,LV,,31,,,1,1,,,,,,
13998,1557941,8711182,EM,1992DK_030,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557941,8711183,EM,1992DK_030,Clupea harengus,LV,,27,,,2,1,,,,,,
13998,1557941,8711184,EM,1992DK_030,Clupea harengus,LV,,28,,,2,1,,,,,,
13998,1557941,8711185,EM,1992DK_030,Clupea harengus,LV,,31,,,1,1,,,,,,
13998,1557942,8711186,EM,1992DK_031,Clupea harengus,LV,,21,,,2,1,,,,,,
13998,1557942,8711187,EM,1992DK_031,Clupea harengus,LV,,22,,,2,1,,,,,,
13998,1557942,8711188,EM,1992DK_031,Clupea harengus,LV,,24,,,2,1,,,,,,
13998,1557942,8711189,EM,1992DK_031,Clupea harengus,LV,,25,,,1,1,,,,,,
