RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea
HH,I5034 ,2,NL,64T2 ,MRN2,4184.293038,,,748750,2019NL031,2019,4,17,9,,12,d,54.33333,7.1405,,,42,,,,,R,2,,,1209,,,,,,,,,,,,,,,,,,,,,,7.6,7.28,33.08,34.49,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3802.29079,,,748752,2019NL033,2019,4,17,12,,10,d,54.65967,6.64167,,,40,,,,,R,2,,,1343,,,,,,,,,,,,,,,,,,,,,,7.66,7.19,33.55,34.56,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4416.732347,,,748753,2019NL034,2019,4,17,13,,12,d,54.6545,6.31933,,,41,,,,,R,2,,,1475,,,,,,,,,,,,,,,,,,,,,,7.85,7.19,33.99,34.58,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4844.220231,,,748754,2019NL035,2019,4,17,15,,15,d,54.27083,6.067,,,40,,,,,R,2,,,1423,,,,,,,,,,,,,,,,,,,,,,7.72,7.7,34.57,34.58,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4313.811459,,,748755,2019NL036,2019,4,17,16,,14,d,54.272,5.67133,,,41,,,,,R,2,,,1110,,,,,,,,,,,,,,,,,,,,,,7.47,7.34,34.41,34.39,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3376.344792,,,748757,2019NL038,2019,4,17,19,,11,d,54.606,5.30667,,,45,,,,,R,2,,,933,,,,,,,,,,,,,,,,,,,,,,7.37,7.34,34.7,34.67,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3179.754332,,,748758,2019NL039,2019,4,17,21,,10,n,54.33483,5.15117,,,45,,,,,R,2,,,978,,,,,,,,,,,,,,,,,,,,,,7.35,7.28,34.58,34.53,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3240.273356,,,748762,2019NL043,2019,4,18,2,,10,n,54.34317,4.15933,,,50,,,,,R,2,,,1018,,,,,,,,,,,,,,,,,,,,,,7.46,7.42,34.65,34.64,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4287.599398,,,748768,2019NL048,2019,4,18,10,,11,d,53.64317,4.15083,,,39,,,,,R,2,,,1438,,,,,,,,,,,,,,,,,,,,,,8.03,7.88,34.41,34.45,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3941.445998,,,748769,2019NL049,2019,4,18,11,,12,d,53.3265,3.7915,,,27,,,,,R,2,,,1500,,,,,,,,,,,,,,,,,,,,,,8.83,8.47,34.11,34.45,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3513.958115,,,748770,2019NL050,2019,4,18,13,,10,d,53.25467,3.238,,,26,,,,,R,2,,,1064,,,,,,,,,,,,,,,,,,,,,,8.75,8.69,34.97,34.91,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3466.545121,,,748771,2019NL051,2019,4,18,14,,11,d,53.1705,2.92483,,,35,,,,,R,2,,,590,,,,,,,,,,,,,,,,,,,,,,9.04,8.99,35.18,35.03,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4840.365516,,,748772,2019NL052,2019,4,18,16,,14,d,52.83533,2.918,,,39,,,,,R,2,,,1179,,,,,,,,,,,,,,,,,,,,,,8.9,8.91,34.92,34.9,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4063.25499,,,748773,2019NL053,2019,4,18,17,,13,d,52.75017,3.254,,,33,,,,,R,2,,,1147,,,,,,,,,,,,,,,,,,,,,,9.32,9.3,35.71,35.1,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3547.108663,,,748775,2019NL055,2019,4,18,20,,11,d,52.31983,3.60333,,,32,,,,,R,2,,,1468,,,,,,,,,,,,,,,,,,,,,,9.41,9.3,35.29,34.89,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4535.072095,,,748776,2019NL056,2019,4,18,22,,13,n,52.24233,3.20867,,,37,,,,,R,2,,,1553,,,,,,,,,,,,,,,,,,,,,,9.34,9.34,34.97,34.96,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,5614.392271,,,748777,2019NL057,2019,4,18,23,,17,n,52.23833,2.77267,,,46,,,,,R,2,,,1433,,,,,,,,,,,,,,,,,,,,,,9.42,9.41,35.16,35.07,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3106.129277,,,748778,2019NL058,2019,4,19,0,,10,n,52.10917,2.56833,,,44,,,,,R,2,,,367,,,,,,,,,,,,,,,,,,,,,,9.34,9.32,35.09,34.99,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3363.238761,,,748779,2019NL059,2019,4,19,2,,12,n,51.85317,2.384,,,44,,,,,R,2,,,0,,,,,,,,,,,,,,,,,,,,,,9.5,9.5,35.11,35.03,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,2916.091832,,,748780,2019NL060,2019,4,19,4,,10,n,51.70267,2.8855,,,36,,,,,R,2,,,860,,,,,,,,,,,,,,,,,,,,,,9.81,9.81,34.47,34.44,,,500,,,,,,,,
