RecordType,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea
HH,2,NL,64T2 ,MRN2,3376.344792,,,748757,2019NL038,2019,4,17,19,,11,d,54.606,5.30667,,,45,,,,,R,2,,,933,,,,,,,,,,,,,,,,,,,,,,7.37,7.34,34.7,34.67,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3179.754332,,,748758,2019NL039,2019,4,17,21,,10,n,54.33483,5.15117,,,45,,,,,R,2,,,978,,,,,,,,,,,,,,,,,,,,,,7.35,7.28,34.58,34.53,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3240.273356,,,748762,2019NL043,2019,4,18,2,,10,n,54.34317,4.15933,,,50,,,,,R,2,,,1018,,,,,,,,,,,,,,,,,,,,,,7.46,7.42,34.65,34.64,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4287.599398,,,748768,2019NL048,2019,4,18,10,,11,d,53.64317,4.15083,,,39,,,,,R,2,,,1438,,,,,,,,,,,,,,,,,,,,,,8.03,7.88,34.41,34.45,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3941.445998,,,748769,2019NL049,2019,4,18,11,,12,d,53.3265,3.7915,,,27,,,,,R,2,,,1500,,,,,,,,,,,,,,,,,,,,,,8.83,8.47,34.11,34.45,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3513.958115,,,748770,2019NL050,2019,4,18,13,,10,d,53.25467,3.238,,,26,,,,,R,2,,,1064,,,,,,,,,,,,,,,,,,,,,,8.75,8.69,34.97,34.91,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3466.545121,,,748771,2019NL051,2019,4,18,14,,11,d,53.1705,2.92483,,,35,,,,,R,2,,,590,,,,,,,,,,,,,,,,,,,,,,9.04,8.99,35.18,35.03,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4840.365516,,,748772,2019NL052,2019,4,18,16,,14,d,52.83533,2.918,,,39,,,,,R,2,,,1179,,,,,,,,,,,,,,,,,,,,,,8.9,8.91,34.92,34.9,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4063.25499,,,748773,2019NL053,2019,4,18,17,,13,d,52.75017,3.254,,,33,,,,,R,2,,,1147,,,,,,,,,,,,,,,,,,,,,,9.32,9.3,35.71,35.1,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3547.108663,,,748775,2019NL055,2019,4,18,20,,11,d,52.31983,3.60333,,,32,,,,,R,2,,,1468,,,,,,,,,,,,,,,,,,,,,,9.41,9.3,35.29,34.89,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4535.072095,,,748776,2019NL056,2019,4,18,22,,13,n,52.24233,3.20867,,,37,,,,,R,2,,,1553,,,,,,,,,,,,,,,,,,,,,,9.34,9.34,34.97,34.96,,,500,,,,,,,,
